TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE
INEP4;1,46;;-0,30;-0,05;0,07;-44,73;-3.320,19;-6.990,85;-0,63;-9,45;-8,74;;20,85;-0,06;-0,08;0,08;-15,09;-24,56;21,46;-1,63;2,63;0,00;-19,65;;41.946,74;-32,43;-4,89;0,00;77.195.543,72;INEP4;Inepar;1,47;+5,00%;INEP4;Serviços Industriais;https://s3-symbol-logo.tradingview.com/inepar-on--big.svg
INTB3;13,10;3,71;9,43;1,40;0,82;29,25;9,42;9,68;9,70;10,03;0,33;0,05;0,91;1,79;-2,90;2,79;14,79;8,73;9,56;0,59;0,41;0,90;22,88;19,16;21.539.549,35;9,39;1,39;-0,48;4.291.705.541,00;INTB3;Intelbras;13,04;+0,23%;INTB3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/intelbras-on-nm--big.svg
IRBR3;47,97;;6,38;0,75;0,25;13,59;13,68;10,39;4,84;4,84;;;0,66;2,41;-0,39;1,39;11,82;3,90;;0,33;0,67;0,38;-1,73;-12,65;30.445.580,57;63,63;7,52;0,10;3.926.003.241,42;IRBR3;IRB Brasil RE;48,04;+1,97%;IRBR3;Financeiro;https://s3-symbol-logo.tradingview.com/irbbrasil-reon--big.svg
ISAE3;30,91;7,64;6,27;0,99;0,46;39,29;58,41;39,74;4,27;6,23;2,57;0,60;2,49;3,71;-0,55;5,95;15,76;7,39;11,34;0,47;0,52;0,19;19,24;13,00;49.495,61;31,27;4,93;0,29;17.459.227.529,64;ISAE3;ISA Energia;30,85;-0,19%;ISAE3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/interconexion-electrica-sa-esp--big.svg
ISAE4;23,66;9,98;4,80;0,76;0,35;39,29;58,41;39,74;3,27;6,23;2,57;0,60;1,91;2,84;-0,42;5,95;15,76;7,39;11,34;0,47;0,52;0,19;19,24;13,00;30.204.042,35;31,27;4,93;0,22;17.459.227.529,64;ISAE4;ISA Energia;23,78;+1,45%;ISAE4;Serviços Públicos;https://s3-symbol-logo.tradingview.com/interconexion-electrica-sa-esp--big.svg
ITSA3;11,33;9,29;8,03;1,39;1,09;25,32;206,48;186,37;7,24;7,49;0,24;0,05;14,96;19,12;-1,23;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;1.815.321,87;8,15;1,41;0,95;124.632.031.852,61;ITSA3;Itaúsa;11,32;+1,16%;ITSA3;Financeiro;https://s3-symbol-logo.tradingview.com/itausa--big.svg
ITSA4;11,34;9,29;8,03;1,39;1,09;25,32;206,48;186,37;7,25;7,49;0,24;0,05;14,97;19,14;-1,23;2,00;17,33;13,60;16,21;0,78;0,18;0,07;10,46;8,52;197.676.081,35;8,15;1,41;0,95;124.632.031.852,61;ITSA4;Itaúsa;11,35;+1,89%;ITSA4;Financeiro;https://s3-symbol-logo.tradingview.com/itausa--big.svg
ITUB3;34,24;8,99;8,62;1,77;0,13;36,48;12,35;11,60;8,09;8,58;;;1,00;-1,51;-0,13;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;19.068.056,78;19,34;3,97;0,55;391.437.540.424,00;ITUB3;Itaú Unibanco;34,35;+2,17%;ITUB3;Financeiro;https://s3-symbol-logo.tradingview.com/itau-unibanco--big.svg
ITUB4;38,40;8,03;9,67;1,99;0,14;36,48;12,35;11,60;9,08;8,58;;;1,12;-1,70;-0,15;0,12;20,54;1,49;;0,07;0,92;0,13;11,68;9,58;654.730.387,43;19,34;3,97;0,61;391.437.540.424,00;ITUB4;Itaú Unibanco;38,44;+1,42%;ITUB4;Financeiro;https://s3-symbol-logo.tradingview.com/itau-unibanco--big.svg
JALL3;2,86;;-12,85;0,43;0,12;14,93;6,42;-2,77;5,54;26,65;21,10;1,65;0,36;0,69;-0,18;2,19;-3,37;-0,95;0,62;0,28;0,72;0,34;21,27;;2.570.995,17;6,60;-0,22;0,04;868.129.731,04;JALL3;Jalles Machado;2,88;+0,00%;JALL3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/jallesmachadon-nm--big.svg
