STOCK;NAME;DEPARTMENT;IMAGE
IFCM3;Infracommerce CXAAS SA;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/infracomm-dm-100--big.svg
IGSN3;Igua Saneamento SA;Serviços Industriais;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
IGTI11;Iguatemi SA Units Cons of 1 Sh + 2 Pfd Shs;;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI3;Iguatemi SA;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI4;Iguatemi SA Perp Pfd Registered Shs;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
INEP3;Inepar SA Industria e Construcoes;Serviços Industriais;https://s3-symbol-logo.tradingview.com/inepar-on--big.svg
INEP4;Inepar SA Industria e Construcoes Pfd;Serviços Industriais;https://s3-symbol-logo.tradingview.com/inepar-on--big.svg
INTB3;Intelbras SA Industria de Telecomunicacao Eletronica Brasileir;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/intelbras-on-nm--big.svg
IRBR3;IRB Brasil Resseguros SA;Financeiro;https://s3-symbol-logo.tradingview.com/irbbrasil-reon--big.svg
ISAE3;Isa Energia Brasil SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/interconexion-electrica-sa-esp--big.svg
ISAE4;Isa Energia Brasil SA Non-Cum Perp Pfd Registered Shs;Serviços Públicos;https://s3-symbol-logo.tradingview.com/interconexion-electrica-sa-esp--big.svg
ITSA3;Itausa SA;Financeiro;https://s3-symbol-logo.tradingview.com/itausa--big.svg
ITSA4;Itausa SA Non-Cum Perp Pfd Registered Shs;Financeiro;https://s3-symbol-logo.tradingview.com/itausa--big.svg
ITUB3;Itau Unibanco Holding S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/itau-unibanco--big.svg
ITUB4;Itau Unibanco Holding SA Pfd;Financeiro;https://s3-symbol-logo.tradingview.com/itau-unibanco--big.svg
JALL3;Jalles Machado SA;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/jallesmachadon-nm--big.svg
JFEN3;Joao Fortes Engenharia S.A.;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/joao-fortes-on--big.svg
JHSF3;JHSF Participacoes S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/jhsf-part-on-nm--big.svg
JOPA3;Josapar Joaquim Oliveira SA Participacoes;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/josapar-on--big.svg
JOPA4;Josapar-Joaquim Oliveira SA Participacoes Pfd;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/josapar-on--big.svg
JSLG3;JSL S.A.;Transportes;https://s3-symbol-logo.tradingview.com/jsl--big.svg
KEPL3;Kepler Weber SA;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/kepler-weberon-eb--big.svg
KLBN11;Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs;;https://s3-symbol-logo.tradingview.com/klabin--big.svg
KLBN3;Klabin SA;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/klabin--big.svg
KLBN4;Klabin SA Non-Cum Perp Pfd Registered Shs;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/klabin--big.svg
LAND3;Terra Santa Propriedades Agricolas SA;Financeiro;https://s3-symbol-logo.tradingview.com/terrasantapaon-nm--big.svg
LAVV3;LAVVI Empreendimentos Imobiliarios SA;Financeiro;https://s3-symbol-logo.tradingview.com/lavvi-on-nm--big.svg
LEVE3;Mahle-Metal Leve S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metal-leve--big.svg
LIGT3;Light S.A.;Serviços Públicos;https://s3-symbol-logo.tradingview.com/light--big.svg
LJQQ3;Lojas Quero-Quero SA;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/quero-quero-on-nm--big.svg
LOGG3;Log Commercial Properties e Participacoes SA;Serviços Industriais;https://s3-symbol-logo.tradingview.com/log-commercial-properties--big.svg
LOGN3;Log-In Logistica Intermodal SA;Transportes;https://s3-symbol-logo.tradingview.com/log-in--big.svg
LPSB3;LPS Brasil-Consultoria de Imoveis SA;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/lopes--big.svg
LREN3;Lojas Renner S.A.;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/lojas-renner--big.svg
LTEL3B;Litel Participacoes SA;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
LUPA3;Lupatech S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/lupatech-on-nm--big.svg
LUXM3;Trevisa Investimentos S.A.;Transportes;https://s3-symbol-logo.tradingview.com/trevisa-pn--big.svg
LUXM4;Trevisa Investimentos SA Pfd;Transportes;https://s3-symbol-logo.tradingview.com/trevisa-pn--big.svg
LVTC3;Livetech da Bahia Industria e Comercio SA;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wdc-networkson-nm--big.svg
LWSA3;LWSA S.A.;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/locaweb--big.svg
MAPT3;Cemepe Investimentos S.A.;Miscelânea;https://s3-symbol-logo.tradingview.com/cemepe-on--big.svg
MAPT4;Cemepe Investimentos SA Pfd;Miscelânea;https://s3-symbol-logo.tradingview.com/cemepe-on--big.svg
MATD3;Hospital Mater Dei SA;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/mater-dei-on-nm--big.svg
MDIA3;M. Dias Branco SA Industria e Comercio de Alimentos;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/m-diasbranco--big.svg
MDNE3;Moura Dubeux Engenharia SA;Financeiro;https://s3-symbol-logo.tradingview.com/moura-dubeuxon-nm--big.svg
MEAL3;International Meal Company Alimentacao SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/imc-s-a-on-nm--big.svg
MELK3;Melnick Desenvolvimento Imobiliario SA;Serviços Industriais;https://s3-symbol-logo.tradingview.com/melnick-on-nm--big.svg
MERC3;Mercantil Financeira SA - Credito, Financiamento e Investimento;Financeiro;https://s3-symbol-logo.tradingview.com/merc-financ-pn--big.svg
MERC4;Mercantil Financeira SA - Credito, Financiamento e Investimento Non-Cum Perp Pfd Registered Shs;Financeiro;https://s3-symbol-logo.tradingview.com/merc-financ-pn--big.svg
MGEL3;Mangels Industrial S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/mangels-indlpn--big.svg
MGEL4;Mangels Industrial SA Pfd Shs;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/mangels-indlpn--big.svg
MGLU3;Magazine Luiza S.A.;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/magaz-luiza-on-nm--big.svg
MILS3;Mills Locacao Servicos e Logistica S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/mills--big.svg
MLAS3;Multi Group S.A;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/multilaser-on-ed-nm--big.svg
MNDL3;Mundial S.A.- Produtos de Consumo;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/mundial-on--big.svg
MNPR3;Minupar Participacoes S.A.;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/minupar-on--big.svg
MOAR3;Monteiro Aranha S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/mont-aranha-on--big.svg
MOTV3;Motiva Infraestrutura de Mobilidade SA;Transportes;https://s3-symbol-logo.tradingview.com/motiva-sa-on-nm--big.svg
MOVI3;Movida Participacoes SA;Financeiro;https://s3-symbol-logo.tradingview.com/movida-on-nm--big.svg
MRFG3;Marfrig Global Foods SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/marfrig-on-nm--big.svg
MRSA3B;MRS Logistica S.A.;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRSA5B;MRS Logistica SA Pfd Shs A;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRSA6B;MRS Logistica SA Pfd Class B;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRVE3;MRV Engenharia e Participacoes S.A.;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/mrv--big.svg
MSPA3;Cia Melhoramentos de Sao Paulo;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/melhor-sp-pn--big.svg
MSPA4;Cia Melhoramentos de Sao Paulo Pfd;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/melhor-sp-pn--big.svg
MTRE3;Mitre Realty Empreendimentos e Participacoes SA;Financeiro;https://s3-symbol-logo.tradingview.com/mitre-realtyon-nm--big.svg
MTSA3;Metisa Metalurgica Timboense SA;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metisa-pn-ej--big.svg
MTSA4;Metisa Metalurgica Timboense SA Pfd;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metisa-pn-ej--big.svg
MULT3;Multiplan Empreendimentos Imobiliarios SA;Financeiro;https://s3-symbol-logo.tradingview.com/multiplan-on-n2--big.svg
MWET3;Wetzel S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/wetzel-s-a-on--big.svg
MWET4;Wetzel S.A. Non-Cum Perp Pfd Registered Shs;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/wetzel-s-a-on--big.svg
MYPK3;Iochpe Maxion S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/iochp-maxionon--big.svg
NATU3;Natura Cosmeticos SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/natura-and-co--big.svg
NEMO3;Suzano Holding SA;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
NEMO5;Suzano Holding SA Pfd A;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
