TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
OIBR3;0,55;;-0,10;-0,01;0,01;-830,11;-402,10;-808,94;-0,20;-11,17;-10,96;;0,80;-0,06;-0,01;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;1.171.627,43;-46,94;-5,58;0,00;192.118.905,58
OIBR4;7,24;;-1,30;-0,15;0,13;-830,11;-402,10;-808,94;-2,61;-11,17;-10,96;;10,49;-0,75;-0,17;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;97.990,14;-46,94;-5,58;0,01;192.118.905,58
OMGE3;27,57;;8,07;1.081,64;383,33;32,08;37,95;18,16;3,86;3,87;0,00;1,16;1,47;3.125,43;-528,30;1,81;13.403,01;4.750,01;10.210,18;0,35;0,65;261,51;30,00;90,67;;0,03;3,42;0,03;5.521.562.588,85
ONCO3;2,96;;-2,07;0,69;0,19;30,91;-6,50;-15,37;-4,89;-15,74;-10,85;1,52;0,32;2,03;-0,28;1,40;-33,18;-9,19;-6,27;0,28;0,70;0,60;;;9.979.185,67;4,31;-1,43;0,00;1.957.787.298,88
OPCT3;7,92;;-183,53;1,73;0,56;25,33;12,29;-0,48;7,10;12,71;5,61;1,36;0,87;5,18;-0,82;1,54;-0,94;-0,31;6,03;0,33;0,67;0,65;31,17;;6.381.797,10;4,58;-0,04;1,34;1.583.679.667,68
ORVR3;57,31;;125,00;3,93;1,36;45,52;28,34;4,48;19,75;23,22;3,48;0,69;5,60;6,99;-2,06;2,36;3,14;1,09;7,58;0,35;0,63;0,24;21,01;72,26;21.622.043,90;14,59;0,46;-1,93;5.509.030.977,01
OSXB3;2,35;;0,00;0,00;0,01;98,80;-1.337,01;-2.132,11;-0,01;-7,26;-7,25;;0,10;-0,01;-0,01;0,02;-17,64;-112,44;73,96;-6,37;7,38;0,05;39,92;;6.326,30;-2.827,35;-498,87;0,00;7.397.889,30
PARD3;20,25;;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;13,10;0,40;0,60;0,82;13,44;2,56;;3,82;0,55;-1,04;5.403.493.010,25
PATI3;47,00;1,68;13,94;1,45;0,74;12,02;5,81;3,74;8,97;8,97;0,07;0,01;0,52;1,87;-2,66;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;45.543,67;32,34;3,37;0,12;1.116.137.170,58
PATI4;38,53;5,00;11,43;1,19;0,61;12,02;5,81;3,74;7,35;8,97;0,07;0,01;0,43;1,53;-2,18;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;8.682,79;32,34;3,37;0,10;1.116.137.170,58
