"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMAR3","Lojas Marisa","459.800","1,26","-1,56%"
"WIZC3","Wiz Soluções","456.000","8,22","+1,11%"
"MATD3","Mater Dei","455.600","4,58","-1,08%"
"JSLG3","JSL","450.100","6,36","-0,62%"
"BMGB4","Banco BMG","422.800","3,88","-0,51%"
"TFCO4","Track & Field","414.000","16,75","+2,32%"
"FRAS3","Fras-le","410.700","22,41","+0,49%"
"ESPA3","Espaçolaser","383.700","1,22","+0,83%"
"PORT3","Wilson Sons","382.800","18,13","-0,17%"
"SOJA3","Boa Safra Sementes","381.500","10,96","+0,64%"
"ZAMP3","Zamp","367.000","3,51","+0,29%"
"TASA4","Taurus","341.600","4,94","+0,20%"
"BRBI11","BR Partners","318.500","18,02","+2,39%"
"ALUP11","Alupar","315.200","30,69","-0,03%"
"MDIA3","M. Dias Branco","307.600","28,63","+0,63%"
"BMOB3","Bemobi","297.500","22,01","+0,92%"
"TOKY3","TOKY3","285.100","1,03","+0,98%"
"PDGR3","PDG Realty","279.300","0,15","+0,00%"
"ALLD3","Allied","261.400","8,57","+1,06%"
"BRST3","Brisanet","261.200","2,95","+3,15%"
"LEVE3","Mahle Metal Leve","240.600","28,05","+0,54%"
"LOGG3","LOG CP","230.700","22,28","+0,50%"
"TRIS3","Trisul","220.900","7,46","+2,47%"
"LPSB3","Lopes","220.400","1,39","+0,72%"
"ITSA3","Itaúsa","211.400","11,32","+1,16%"
"VITT3","Vittia","209.400","5,19","+0,78%"
"UNIP6","Unipar","207.700","72,55","+2,40%"
"MEAL3","IMC Alimentação","195.900","1,40","+0,72%"
"VLID3","Valid","185.700","21,23","+0,76%"
"VTRU3","VITRUBREPCOM","185.600","11,64","+0,17%"
"FIQE3","Unifique","182.100","4,59","+0,88%"
"ROMI3","Indústrias ROMI","178.400","8,41","+3,19%"
"TGMA3","Tegma","175.700","37,35","-0,11%"
"PTBL3","Portobello","172.400","4,05","+1,00%"
"RNEW4","Renova Energia","171.200","1,14","+3,64%"
"AGRO3","BrasilAgro","170.100","20,52","-0,48%"
"CMIG3","Cemig","158.500","15,02","+0,60%"
"BLAU3","Blau Farmacêutica","153.900","14,18","-0,35%"
"SANB4","Banco Santander","138.700","15,34","+2,54%"
"RCSL3","Recrusul","132.800","1,81","-0,55%"
"SAPR3","Sanepar","129.900","7,84","-0,13%"
"VIVR3","Viver","128.700","0,97","+1,04%"
"INEP3","Inepar","127.200","1,75","+4,17%"
"TAEE4","Taesa","126.700","11,84","+0,59%"
"ALPK3","Estapar","114.500","3,16","+0,64%"
"DESK3","Desktop","106.800","8,30","+1,84%"
"SANB3","Banco Santander","106.200","13,95","+2,42%"
"SHOW3","Time For Fun","99.700","6,14","-1,92%"
"AERI3","Aeris Energy","90.100","4,12","+1,48%"
"LVTC3","WDC Networks","87.300","3,61","-2,70%"
"TAEE3","Taesa","82.600","11,72","+0,17%"
"INEP4","Inepar","81.200","1,47","+5,00%"
"LAND3","Terra Santa","78.800","9,42","+2,84%"
"ETER3","Eternit","78.600","4,90","+1,03%"
"IGTI3","Iguatemi","75.100","2,93","+1,38%"
"IGTI3","Jereissati Participações","75.100","2,93","+1,38%"
"AZEV11","Azevedo & Travassos","73.900","0,07","-12,50%"
"TECN3","Technos","66.500","6,80","+0,59%"
"DMVF3","D1000 Varejo Farma","62.800","4,60","-4,37%"
"DEXP3","Dexxos","61.200","8,50","+0,71%"
"TCSA3","Tecnisa","57.600","1,67","+0,00%"
"TPIS3","Triunfo","51.100","4,03","-0,49%"
"LUPA3","Lupatech","49.600","1,13","+0,00%"
"GOAU3","Metalúrgica Gerdau","46.400","9,52","+1,17%"
"TRAD3","Traders Club","39.700","5,35","-2,37%"
"AMOB3","Automob","39.300","13,04","+0,69%"
"LUXM4","Trevisa","37.100","3,75","+1,35%"
"RNEW3","Renova Energia","35.300","1,19","+4,39%"
"GGBR3","Gerdau","34.900","15,40","+0,46%"
"AALR3","Alliança","33.700","6,37","+1,11%"
"UCAS3","Unicasa","32.000","1,30","+1,56%"
"BRAP3","Bradespar","29.600","15,53","+0,26%"
"EUCA4","Eucatex","29.300","17,86","+0,17%"
"FICT3","Fictor Alimentos","28.400","3,24","+2,86%"
"CEBR6","CEB","27.500","23,98","-3,11%"
"BOBR4","Bombril","26.500","1,42","+2,16%"
"BMEB4","Banco Mercantil do Brasil","26.000","50,58","+1,36%"
"CEBR5","CEB","25.300","21,90","-2,58%"
"BRKM3","Braskem","25.200","9,39","-0,11%"
"BPAC5","Banco BTG Pactual","23.400","10,50","+0,57%"
"HOOT4","Hotéis Othon","23.300","3,94","-1,01%"
"TASA3","Taurus","23.000","5,41","+1,31%"
"RPMG3","Refinaria de Manguinhos","22.300","2,93","+1,03%"
"BPAC3","Banco BTG Pactual","19.000","25,29","+1,93%"
"BRSR3","Banrisul","18.100","12,65","-1,40%"
"CSUD3","CSU Cardsystem","17.500","18,28","+0,44%"
"MGEL4","Mangels","17.100","5,76","-6,80%"
"AGXY3","AgroGalaxy","16.700","5,77","+0,00%"
"CAMB3","Cambuci","16.100","9,93","+0,30%"
"LOGN3","Log-In","14.700","24,70","+0,82%"
"CEBR3","CEB","14.000","22,02","-1,70%"
"BEES3","Banestes","13.900","8,15","+0,37%"
"SCAR3","São Carlos","13.800","20,95","+3,20%"
"JFEN3","João Fortes","13.300","1,79","+5,92%"
"ALUP4","Alupar","13.100","9,91","+0,41%"
"RDNI3","RNI","11.700","2,31","+5,96%"
"EALT4","Electro Aço Altona","11.400","11,81","+2,25%"
"ENGI3","Energisa","11.300","13,61","-5,62%"
"PDTC3","Padtec","10.800","1,06","-0,93%"
"FHER3","Fertilizantes Heringer","10.200","4,10","+3,80%"
"EQPA3","Equatorial Energia Pará","9.800","5,63","+0,54%"
"RAPT3","Randon","9.200","6,43","-0,92%"
"BIOM3","Biomm","9.100","8,54","+1,79%"
"BSLI3","Banco de Brasília","8.700","9,54","+2,14%"
"WHRL4","Whirlpool","8.400","4,89","+0,20%"
"DEXP4","Dexxos","8.300","8,28","+0,24%"
"BIED3","BIED3","8.300","3,40","+0,00%"
"AVLL3","Alphaville","8.300","1,67","-0,60%"
"WEST3","Westwing","8.100","4,74","-3,27%"
"EPAR3","Embpar Participações","8.000","4,45","+1,14%"
"COCE5","Coelce","7.800","30,51","-1,58%"
"CGRA4","Grazziotin","7.300","27,60","+2,11%"
"TELB4","Telebras","7.100","8,95","-2,19%"
"ENGI4","Energisa","7.100","8,93","+0,34%"
