TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
VIVA3;28,98;2,28;10,17;2,48;1,60;71,05;25,17;24,25;9,80;10,22;0,42;0,11;2,47;3,34;-4,33;4,13;24,35;15,70;19,35;0,64;0,36;0,65;28,01;21,13;63.401.652,91;11,70;2,85;0,23;6.845.011.345,62;VIVA3;Vivara;29,45;+2,54%;VIVA3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/vivara-sa-on-nm--big.svg;False
VIVR3;1,00;;-1,27;0,43;0,15;29,87;-22,53;-26,99;-1,52;-1,64;-0,12;0,03;0,34;1,78;-0,28;1,24;-33,55;-12,17;-22,33;0,36;0,61;0,45;;;198.616,00;2,34;-0,79;0,02;38.366.082,00;VIVR3;Viver;0,97;+1,04%;VIVR3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/viver-on-nm--big.svg;False
VIVT3;33,39;3,80;18,47;1,58;0,85;44,00;15,53;10,12;12,04;13,25;1,21;0,16;1,87;-230,81;-1,08;0,98;8,57;4,61;8,29;0,54;0,46;0,46;4,76;3,13;119.601.767,14;21,10;1,81;1,49;107.734.391.708,58;VIVT3;Vivo;33,93;+1,65%;VIVT3;Comunicações;https://s3-symbol-logo.tradingview.com/telefonica--big.svg;False
VIVT4;45,34;;25,08;2,15;1,16;44,00;15,53;10,12;16,34;13,25;1,21;0,16;2,54;-313,41;-1,46;0,98;8,57;4,61;8,29;0,54;0,46;0,46;4,76;3,13;;21,10;1,81;2,02;107.734.391.708,58;;;;;;;;False
VLID3;21,38;10,59;6,23;1,00;0,61;34,03;15,64;13,01;5,18;5,36;0,18;0,03;0,81;1,85;-1,21;3,04;16,12;9,81;14,19;0,61;0,39;0,75;1,58;38,92;3.865.535,41;21,29;3,43;-0,47;1.749.661.697,50;VLID3;Valid;21,23;+0,76%;VLID3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/valid--big.svg;False
VSPT3;5,00;;6,51;0,49;0,27;19,76;12,09;7,29;3,93;3,37;-0,56;-0,07;0,47;-4,95;-0,31;0,71;7,57;4,16;12,19;0,55;0,45;0,57;10,07;;0,00;10,15;0,77;-0,04;1.780.029.215,00;;;;;VSPT3;Transportes;https://s3-symbol-logo.tradingview.com/country/BR--big.svg;False
VSPT4;0,00;;0,00;0,00;0,00;19,76;12,09;7,29;0,00;3,37;-0,56;-0,07;0,00;0,00;0,00;0,71;7,57;4,16;12,19;0,55;0,45;0,57;10,07;;;10,15;0,77;0,00;1.780.029.215,00;;;;;VSPT4;Transportes;https://s3-symbol-logo.tradingview.com/country/BR--big.svg;False
VSTE3;5,35;;1.160,69;0,58;0,36;63,15;4,84;0,05;10,91;16,47;5,56;0,30;0,53;4,28;-0,53;1,38;0,05;0,03;4,03;0,62;0,38;0,69;3,10;;52.256,36;9,15;0,00;-12,17;611.686.060,05;VSTE3;LE LIS BLANC;5,50;+0,00%;VSTE3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/le-lis-blanc--big.svg;False
VTRU3;12,18;0,20;-6,05;1,79;1,45;22,04;-7,31;-14,81;-12,25;-8,57;3,68;-0,54;0,90;3,45;-3,17;4,48;-29,57;-24,02;-29,52;0,81;0,19;1,62;;;3.415.335,14;6,81;-2,01;;461.452.174,26;VTRU3;VITRUBREPCOM;11,64;+0,17%;VTRU3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/vitru-brasil-empreendimentos-partic-spon-ads-each-rep-one-ord-shs--big.svg;False
VULC3;19,70;13,22;6,78;2,30;1,62;41,45;21,52;24,37;7,67;7,88;0,20;0,06;1,65;3,68;-5,10;2,82;33,99;23,91;24,35;0,70;0,30;0,98;17,52;41,12;22.122.379,36;8,55;2,91;0,11;5.428.064.006,80;VULC3;Vulcabras;20,18;+0,25%;VULC3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/vulcabras--big.svg;False
VVEO3;1,17;;-0,26;0,21;0,04;11,47;-7,06;-12,74;-0,47;-3,99;-3,52;1,60;0,03;0,18;-0,09;1,74;-81,75;-15,87;-16,92;0,19;0,81;1,25;30,99;;1.897.842,41;5,54;-4,53;0,00;377.700.111,36;VVEO3;Viveo;1,09;+6,86%;VVEO3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/viveo-on-nm--big.svg;False
WEGE3;36,78;2,17;24,08;6,95;3,88;33,61;19,82;15,65;19,01;18,63;-0,38;-0,14;3,77;13,98;-10,62;1,77;28,86;16,09;25,60;0,56;0,42;1,03;23,27;31,76;271.553.258,68;5,29;1,53;2,40;154.377.355.966,44;WEGE3;WEG;36,71;-0,16%;WEGE3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/weg--big.svg;False
WEST3;4,45;;-3,53;0,23;0,17;39,61;-17,88;-9,13;-1,80;1,82;3,62;-0,45;0,32;0,44;-0,40;3,00;-6,41;-4,76;-13,03;0,74;0,26;0,52;5,08;;139.010,32;19,70;-1,26;0,05;49.436.598,60;WEST3;Westwing;4,74;-3,27%;WEST3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/westwing-on-nm--big.svg;False
WHRL3;4,43;13,54;7,12;2,99;0,67;18,21;7,83;7,11;6,46;6,14;-0,54;-0,25;0,51;-40,84;-2,06;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;21.082,95;1,48;0,62;0,04;6.875.421.159,02;WHRL3;Whirlpool;4,50;+0,00%;WHRL3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/whirlpool-on--big.svg;False
WHRL4;4,89;13,48;7,86;3,30;0,74;18,21;7,83;7,11;7,14;6,14;-0,54;-0,25;0,56;-45,08;-2,28;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;51.233,68;1,48;0,62;0,05;6.875.421.159,02;WHRL4;Whirlpool;4,89;+0,20%;WHRL4;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/whirlpool-on--big.svg;False
WIZC3;8,25;3,03;7,14;2,05;0,54;61,85;44,23;13,63;2,20;2,36;0,16;0,15;0,97;-32,96;-0,70;0,93;28,76;7,56;24,12;0,26;0,48;0,55;13,02;-2,88;2.910.578,95;4,02;1,16;1,16;1.319.235.076,50;WIZC3;Wiz Soluções;8,22;+1,11%;WIZC3;Financeiro;https://s3-symbol-logo.tradingview.com/wiz-s-a--big.svg;True
WLMM3;22,99;3,12;7,37;1,04;0,56;12,90;6,56;3,83;4,30;5,83;1,83;0,44;0,28;2,02;-1,34;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;3.019,00;22,11;3,12;-0,48;777.841.347,80;WLMM3;WLM;22,75;-0,22%;WLMM3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wlm-ind-com-pn--big.svg;False
WLMM4;20,00;3,94;6,41;0,90;0,49;12,90;6,56;3,83;3,74;5,83;1,83;0,44;0,25;1,76;-1,16;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;62.857,43;22,11;3,12;-0,41;777.841.347,80;WLMM4;WLM;20,85;-0,67%;WLMM4;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wlm-ind-com-pn--big.svg;False
YDUQ3;13,45;4,24;12,34;1,21;0,39;61,02;16,26;5,49;4,17;9,25;5,08;1,48;0,68;7,41;-0,50;1,28;9,82;3,13;9,88;0,32;0,68;0,57;8,46;-14,30;40.773.788,27;11,10;1,09;0,12;3.686.495.045,95;YDUQ3;YDUQS;14,02;+0,36%;YDUQ3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/yduqs-part-on-nm--big.svg;False
ZAMP3;3,49;;-7,51;0,96;0,33;64,76;-0,15;-3,89;-196,70;-316,02;-119,31;0,59;0,29;-10,64;-0,43;0,87;-12,84;-4,46;-2,75;0,35;0,65;1,15;9,70;;2.206.386,91;3,62;-0,46;-0,08;1.420.201.038,55;ZAMP3;Zamp;3,51;+0,29%;ZAMP3;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/burger-king--big.svg;False
