TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
RENT3;40,67;4,34;18,93;1,73;0,54;28,53;20,59;5,88;5,40;9,49;4,09;1,31;1,11;10,17;-0,69;1,33;9,12;2,86;10,29;0,31;0,69;0,49;29,60;22,76;206.205.589,05;23,54;2,15;0,37;44.030.184.682,40;RENT3;Localiza;40,10;+2,56%;RENT3;Financeiro;https://s3-symbol-logo.tradingview.com/localiza--big.svg;False
RLOG3;23,08;;82,76;4,26;0,23;34,71;29,67;1,85;5,17;12,09;6,92;5,71;1,53;1,49;-0,31;2,64;5,15;0,28;5,46;0,05;0,71;0,15;50,58;4,37;;5,41;0,28;-2,42;10.691.215.482,28;;;;;;;;False
RNEW11;3,23;;-3,16;0,31;0,13;-10,89;3,44;-32,12;29,52;76,97;47,45;0,50;1,02;-3,27;-0,15;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;5.254,86;10,42;-1,02;0,01;400.718.009,77;RNEW11;Renova Energia;3,39;+2,42%;RNEW11;;https://s3-symbol-logo.tradingview.com/renova-pn-n2--big.svg;False
RNEW3;1,08;;-3,17;0,31;0,13;-10,89;3,44;-32,12;29,61;76,97;47,45;0,50;1,02;-3,28;-0,15;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;53.677,59;3,47;-0,34;0,01;400.718.009,77;RNEW3;Renova Energia;1,19;+4,39%;RNEW3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/renova-pn-n2--big.svg;False
RNEW4;1,09;;-3,20;0,31;0,13;-10,89;3,44;-32,12;29,88;76,97;47,45;0,50;1,03;-3,31;-0,15;0,69;-9,80;-4,19;0,32;0,43;0,57;0,13;21,43;;123.582,68;3,47;-0,34;0,01;400.718.009,77;RNEW4;Renova Energia;1,14;+3,64%;RNEW4;Serviços Públicos;https://s3-symbol-logo.tradingview.com/renova-pn-n2--big.svg;False
ROMI3;8,02;9,48;8,18;0,61;0,30;27,85;6,73;7,00;8,51;14,52;6,01;0,43;0,57;0,92;-0,74;2,17;7,48;3,64;4,38;0,49;0,51;0,52;9,77;-6,76;931.354,32;13,11;0,98;-0,22;747.229.390,94;ROMI3;Indústrias ROMI;8,41;+3,19%;ROMI3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/industrias-romi--big.svg;False
RPAD3;4,93;;-12,75;0,42;0,42;;;;-9,78;-6,67;2,95;-0,13;;3,34;-0,48;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;494,50;11,61;-0,39;0,47;410.909.577,88;RPAD3;Alfa Holdings;4,93;+0,41%;RPAD3;Financeiro;https://s3-symbol-logo.tradingview.com/alfa-holdingpna--big.svg;True
RPAD5;8,00;6,73;-20,69;0,69;0,68;;;;-15,87;-6,67;2,95;-0,13;;5,41;-0,78;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;1.339,70;11,61;-0,39;0,76;410.909.577,88;RPAD5;Alfa Holdings;8,00;+12,68%;RPAD5;Financeiro;https://s3-symbol-logo.tradingview.com/alfa-holdingpna--big.svg;True
RPAD6;4,76;;-12,31;0,41;0,41;;;;-9,44;-6,67;2,95;-0,13;;3,22;-0,47;28,89;-3,33;-3,29;-4,69;0,99;0,01;0,00;;;1.485,50;11,61;-0,39;0,45;410.909.577,88;RPAD6;Alfa Holdings;4,76;+14,70%;RPAD6;Financeiro;https://s3-symbol-logo.tradingview.com/alfa-holdingpna--big.svg;True
RPMG3;2,95;;-0,12;-0,03;0,02;-14,43;-20,96;-19,19;-0,11;-0,08;0,03;;0,02;-0,06;-0,42;0,76;-22,32;-16,12;24,36;-0,72;1,72;0,84;42,58;;14.236,62;-109,81;-24,51;0,00;199.690.305,55;RPMG3;Refinaria de Manguinhos;2,93;+1,03%;RPMG3;Minerais Energéticos;https://s3-symbol-logo.tradingview.com/pet-manguinhon--big.svg;False
RSID3;1,90;;0,14;-0,04;0,08;28,74;-311,91;327,60;-0,15;-1,48;-1,34;;0,46;-0,13;-0,15;0,45;-28,42;54,91;101,17;-1,93;2,93;0,17;-41,82;;20.747,41;-47,95;13,63;0,00;38.517.187,60;RSID3;Rossi Residencial;1,92;+1,05%;RSID3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/rossi-resid-on-nm--big.svg;False
RSUL3;0,00;;0,00;0,00;0,00;40,78;21,58;14,95;0,00;1,39;-0,47;-0,16;0,00;0,00;0,00;2,44;23,72;14,26;13,73;0,60;0,40;0,95;17,77;28,31;;41,78;9,91;0,00;160.942.012,50;;;;;RSUL3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/riosulense-pn--big.svg;False
RSUL4;64,50;;6,51;1,54;0,93;40,78;21,58;14,95;4,51;1,39;-0,47;-0,16;0,97;2,78;-2,13;2,44;23,72;14,26;13,73;0,60;0,40;0,95;17,77;28,31;104.689,05;41,78;9,91;0,82;160.942.012,50;RSUL4;Metalúrgica Riosulense;66,20;+0,32%;RSUL4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/riosulense-pn--big.svg;False
SANB11;29,20;5,97;9,29;0,90;0,09;39,14;10,65;7,79;6,80;6,80;;;0,72;-0,21;-0,09;0,04;9,64;0,95;;0,10;0,90;0,12;13,50;-6,66;57.565.763,05;32,61;3,14;0,79;109.478.553.344,60;SANB11;Banco Santander;29,53;+2,29%;SANB11;;https://s3-symbol-logo.tradingview.com/santander--big.svg;True
